"Row","Features"
"1","tBodyAccelerometerMeanX"
"2","tBodyAccelerometerMeanY"
"3","tBodyAccelerometerMeanZ"
"4","tBodyAccelerometerStandardDevX"
"5","tBodyAccelerometerStandardDevY"
"6","tBodyAccelerometerStandardDevZ"
"7","tGravityAccelerometerMeanX"
"8","tGravityAccelerometerMeanY"
"9","tGravityAccelerometerMeanZ"
"10","tGravityAccelerometerStandardDevX"
"11","tGravityAccelerometerStandardDevY"
"12","tGravityAccelerometerStandardDevZ"
"13","tBodyAccelerometerJerkMeanX"
"14","tBodyAccelerometerJerkMeanY"
"15","tBodyAccelerometerJerkMeanZ"
"16","tBodyAccelerometerJerkStandardDevX"
"17","tBodyAccelerometerJerkStandardDevY"
"18","tBodyAccelerometerJerkStandardDevZ"
"19","tBodyGyroscopeMeanX"
"20","tBodyGyroscopeMeanY"
"21","tBodyGyroscopeMeanZ"
"22","tBodyGyroscopeStandardDevX"
"23","tBodyGyroscopeStandardDevY"
"24","tBodyGyroscopeStandardDevZ"
"25","tBodyGyroscopeJerkMeanX"
"26","tBodyGyroscopeJerkMeanY"
"27","tBodyGyroscopeJerkMeanZ"
"28","tBodyGyroscopeJerkStandardDevX"
"29","tBodyGyroscopeJerkStandardDevY"
"30","tBodyGyroscopeJerkStandardDevZ"
"31","tBodyAccelerometerMagnitudeMean"
"32","tBodyAccelerometerMagnitudeStandardDev"
"33","tGravityAccelerometerMagnitudeMean"
"34","tGravityAccelerometerMagnitudeStandardDev"
"35","tBodyAccelerometerJerkMagnitudeMean"
"36","tBodyAccelerometerJerkMagnitudeStandardDev"
"37","tBodyGyroscopeMagnitudeMean"
"38","tBodyGyroscopeMagnitudeStandardDev"
"39","tBodyGyroscopeJerkMagnitudeMean"
"40","tBodyGyroscopeJerkMagnitudeStandardDev"
"41","fBodyAccelerometerMeanX"
"42","fBodyAccelerometerMeanY"
"43","fBodyAccelerometerMeanZ"
"44","fBodyAccelerometerStandardDevX"
"45","fBodyAccelerometerStandardDevY"
"46","fBodyAccelerometerStandardDevZ"
"47","fBodyAccelerometerMeanFrequencyX"
"48","fBodyAccelerometerMeanFrequencyY"
"49","fBodyAccelerometerMeanFrequencyZ"
"50","fBodyAccelerometerJerkMeanX"
"51","fBodyAccelerometerJerkMeanY"
"52","fBodyAccelerometerJerkMeanZ"
"53","fBodyAccelerometerJerkStandardDevX"
"54","fBodyAccelerometerJerkStandardDevY"
"55","fBodyAccelerometerJerkStandardDevZ"
"56","fBodyAccelerometerJerkMeanFrequencyX"
"57","fBodyAccelerometerJerkMeanFrequencyY"
"58","fBodyAccelerometerJerkMeanFrequencyZ"
"59","fBodyGyroscopeMeanX"
"60","fBodyGyroscopeMeanY"
"61","fBodyGyroscopeMeanZ"
"62","fBodyGyroscopeStandardDevX"
"63","fBodyGyroscopeStandardDevY"
"64","fBodyGyroscopeStandardDevZ"
"65","fBodyGyroscopeMeanFrequencyX"
"66","fBodyGyroscopeMeanFrequencyY"
"67","fBodyGyroscopeMeanFrequencyZ"
"68","fBodyAccelerometerMagnitudeMean"
"69","fBodyAccelerometerMagnitudeStandardDev"
"70","fBodyAccelerometerMagnitudeMeanFrequency"
"71","fBodyBodyAccelerometerJerkMagnitudeMean"
"72","fBodyBodyAccelerometerJerkMagnitudeStandardDev"
"73","fBodyBodyAccelerometerJerkMagnitudeMeanFrequency"
"74","fBodyBodyGyroscopeMagnitudeMean"
"75","fBodyBodyGyroscopeMagnitudeStandardDev"
"76","fBodyBodyGyroscopeMagnitudeMeanFrequency"
"77","fBodyBodyGyroscopeJerkMagnitudeMean"
"78","fBodyBodyGyroscopeJerkMagnitudeStandardDev"
"79","fBodyBodyGyroscopeJerkMagnitudeMeanFrequency"
